Period,accel_x_peak1_magnitude,accel_x_peak1_location,accel_x_peak2_magnitude,accel_x_peak2_location,accel_x_trough1_magnitude,accel_x_trough1_location,accel_x_trough2_magnitude,accel_x_trough2_location,accel_y_peak1_magnitude, accel_y_peak1_location, accel_y_peak2_magnitude, accel_y_peak2_location,accel_y_trough1_magnitude,accel_y_trough1_location,accel_y_trough2_magnitude,accel_y_trough2_location,gyro_z_peak1_magnitude,gyro_z_peak1_location,gyro_z_peak2_magnitude,gyro_z_peak2_location,gyro_z_trough1_magnitude,gyro_z_trough1_location,gyro_z_trough2_magnitude,gyro_z_trough2_location,standard_deviation_peak,standard_deviation_trough
      3346,        1.4371047020,        73,        0.3990187645,       367,       -1.0653367043,        43,       -1.0433640480,       218,        0.9407851696,       161,        0.6434218884,       212,     -314.6670532227,       122,     -100.4489212036,       173,      123.2907028198,       213,      120.0405807495,        40,     -314.6670532227,       122,     -100.4489212036,       173,        0.8015090227,        0.1539530605
      3728,        1.5035109520,        60,        0.1910109520,       349,       -1.1166062355,        30,       -0.7235398293,       208,        1.2342422009,       196,        0.8821914196,       144,     -306.9918823242,        98,     -173.5842895508,       149,      115.3408737183,       200,      113.4793014526,        31,     -306.9918823242,        98,     -173.5842895508,       149,        0.7852904201,        0.1687351167
      4084,        1.3326125145,        73,        0.2632765770,       278,       -0.8934617043,        46,       -0.8539109230,       225,        1.0154922009,       156,        0.9935195446,       210,     -318.1765747070,       124,      -85.7699661255,       175,      113.2961959839,        40,      101.6842575073,       216,     -318.1765747070,       124,      -85.7699661255,       175,        0.7343447804,        0.1738096923
      4446,        1.5127882957,        91,        0.5630812645,        15,       -1.0311570168,        56,       -0.7469773293,       235,        0.9554336071,       227,        0.8729140759,       171,     -326.9351196289,       129,     -147.5070190430,       180,      117.2482223511,        56,       89.9655075073,       231,     -326.9351196289,       129,     -147.5070190430,       180,        0.7337805629,        0.1801417023
      4852,        1.2144484520,        60,        0.2901320457,       348,       -1.4789109230,       234,       -1.1415085793,        26,        0.9925429821,       196,        0.8787734509,       143,     -335.1596069336,        98,     -153.0001831055,       149,      130.8132934570,        24,      106.1093063354,       206,     -335.1596069336,        98,     -153.0001831055,       149,        0.8525727987,        0.1377077401
      7182,        0.4553846717,        39,        0.3762831092,       404,       -0.8473497033,       460,       -0.3781114221,       104,        0.5724619627,       453,        0.5275400877,       164,     -206.8983306885,        98,     -100.6971511841,        47,      123.2713546753,       445,      111.7662277222,       378,     -206.8983306885,        98,     -100.6971511841,        47,        0.4473726153,        0.1264400333
      7644,        1.0203261375,        24,        0.2981581092,       229,       -1.3336777687,       218,       -0.8473497033,         0,        1.2521494627,       180,        0.8966807127,       116,     -312.6417236328,        98,     -202.9615631104,        46,      116.3743820190,       187,      115.6724777222,         0,     -312.6417236328,        98,     -202.9615631104,        46,        0.7677380443,        0.1251987964
      8008,        1.3948378563,        74,        0.2976698279,       363,       -1.3253769875,       257,       -0.7770372033,        40,        0.9972666502,       219,        0.7082041502,       158,     -281.1781005859,       106,     -190.6172027588,       157,      128.1694183350,        40,      118.1749191284,       231,     -281.1781005859,       106,     -190.6172027588,       157,        0.8227392435,        0.1364618540
      8396,        1.6311659813,        66,        0.5330213904,       384,       -1.7638535500,       252,       -1.1100449562,        39,        1.1037119627,       214,        0.8473643064,       149,     -289.6009521484,        98,     -172.9475250244,       149,      134.4407806396,        36,      123.9274826050,       219,     -289.6009521484,        98,     -172.9475250244,       149,        0.8509065509,        0.1166057214
      8794,        1.6160292625,        54,        0.2412537932,       256,       -1.2470273972,       237,       -1.1232285500,        28,        0.9625986814,       199,        0.9147471189,       138,     -293.6445312500,        98,     -129.3073883057,       149,      149.8979339600,        25,       98.7047042847,       202,     -293.6445312500,        98,     -129.3073883057,       149,        0.7992616296,        0.1278251410
      9144,        1.6782655716,        61,        0.1694764495,       323,       -1.0785703659,        35,       -0.9501524568,       205,        0.9758998156,       194,        0.8762904406,       141,     -331.2836914062,        98,     -129.8218994141,       149,      128.6619873047,        33,      107.2844161987,       202,     -331.2836914062,        98,     -129.8218994141,       149,        0.8396310210,        0.1562888175
      9483,        1.5791444778,        72,        0.3516053557,        15,       -1.3612852097,       266,       -1.0443906784,        41,        1.3821498156,       224,        0.6873255968,       285,     -285.8887939453,       110,     -160.6446533203,       161,      131.1033935547,       229,      128.5551757812,        42,     -285.8887939453,       110,     -160.6446533203,       161,        0.8445531130,        0.1606860161
